# 基础词表：单字词、互相包含的词、英文与数字词

的	900
了	900
在	900
和	900
与	900
就	900
都	900
也	900
还	900
是	900
有	900
不	900
中	900
上	900
下	900
人	900
大	900
小	900
年	900
月	900
日	900
天	900
地	900
会	900
能	900
要	900
到	900
对	900
从	900
为	900
被	900
把	900
让	900
给	900
一	900
二	900
三	900
十	900
百	900
千	900
万	900
亿	900
个	900
名	900
条	900
项	900
次	900
家	900
里	900
外	900
前	900
后	900
内	900
等	900
而	900
但	900
并	900
又	900
很	900
最	900
更	900
好	900
新	900
老	900
高	900
低	900
长	900
短	900
快	900
慢	900
多	900
少	900
全	900
主	900
首	900
本	900
该	900
其	900
之	900
于	900
及	900
或	900
着	900
过	900
来	900
去	900
说	900
命	900
京	900
市	900
学	900
生	900

北京	800
北京大学	900
北京大学城	160
京	30
大学	700
大学生	650
学生	600
大学城	300
中学生	120
中国	900
科学	650
科学院	700
中国科学院	850
学院	600
上海	800
交通	600
交通大学	80
上海交通	60
南京	700
南京市	650
市长	600
长江	600
长江大桥	620
大桥	500
通车	400
研究	600
研究生	550
生命	700
起源	650
iPhone	60
AI	70
GPU	55
Python	40
HTTP	35
5G	30
模型	600
上线	500
准确率	400
推理	400
病房	300
网络	500
项目	600
团队	550
对比	400
结果	600
耗时	300
秒	300
我们	700
他们	700
已经	600
正在	600
