# 大词表：合成词为主，含互相包含的词、等长歧义词与单字词

一	900
一季度	11
一起	3
万	900
三	900
上	900
上上艺术	9
上下媒体	5
上下市民	11
上专业专家	8
上专业主播	2
上专业教师	1
上专业新闻	8
上专业森林	8
上专业温度	1
上专业港口	8
上专业生态	70
上专业病房	5
上专业社会	11
上专家	3
上专家集团	12
上中央乡镇	5
上中央学校	4
上中央学者	4
上中央小学	3
上中央平台	6
上中央数据	3
上中央湖泊	8
上中央湿地	2
上中央灾害	6
上中央疫情	1
上中学	5
上中学市场	7
上中学收入	7
上中心	56
上中心创新	2
上中心发展	10
上中心数据	6
上临床乡镇	10
上临床大学	3
上临床河流	8
上临床湖泊	4
上临床画家	2
上临床站点	12
上临床高原	2
上主园区	11
上主播	5
上主系统	8
上乡冰川	10
上乡城市	10
上乡小区	10
上乡工程	4
上乡新闻	11
上乡温度	1
上乡超市	10
上乡镇	2
上乡镇系统	3
上云产品	11
上云企业	11
上云患者	8
上云森林	12
上云电池	1
上云码头	11
上云科技	2
上云设备	10
上云资源	12
上交通	12
上交通中学	4
上交通安全	9
上交通小区	12
上交通操场	3
上交通文化	11
上交通材料	9
上交通病房	6
上交通金融	7
上交通集团	3
上产品	10
上产品技术	12
上人才教练	12
上人才教育	1
上人才村庄	11
上人才疫情	7
上仓储债主	6
上仓储健康	2
上仓储媒体	5
上仓储居民	7
上仓储山脉	7
上仓储市民	2
上仓储文化	4
上仓储材料	7
上仓储村庄	12
上仓储桥梁	11
上仓储河流	11
上仓储设备	9
上仓储质量	8
上仓储铁路	6
上仓库	5
上仓库创新	11
上仓库培训	12
上仓库居民	10
上仓库指数	12
上仓库材料	11
上仲裁发展	8
上仲裁图书	3
上仲裁小区	10
上仲裁岛屿	9
上仲裁硬件	1
上仲裁艺术	8
上仲裁裁判	4
上仲裁风力	7
上仲裁食堂	2
上价格	6
上价格学者	5
上价格技术	9
上企业	6
上企业培训	6
上企业媒体	10
上企业工业	4
上企业投资	12
上企业操场	5
上企业效率	11
上企业气候	2
上企业计划	6
上企业记者	8
上企业运营	3
上企客户	10
上企库存	8
上企村庄	7
上企渠道	4
上企疫情	7
上企管理	12
上企隧道	1
上优质中学	10
上优质医疗	5
上优质品牌	8
上优质城市	5
上优质工业	21
上优质平台	4
上优质效率	11
上优质楼栋	6
上优质歌手	11
上优质编辑	4
上优质街道	1
上优质高原	2
上会员	8
上会员政策	4
上会员管理	8
上会员设备	5
上会展中学	8
上会展儿童	2
上会展公园	5
上会展农村	8
上会展天气	5
上会展工程	2
上会展平原	11
上会展操场	12
上会展数据	1
上会展经济	6
上会展艺术	5
上会展银行	8
上会展高原	1
上会计专家	1
上会计医疗	5
上会计基地	4
上会计广场	1
上会计建设	8
上会计收入	1
上会计机场	10
上会计森林	1
上会计湿地	4
上会计火车	4
上会计疫情	3
上会计盆地	5
上会议	9
上会议学会	4
上会议学者	1
上会议排名	9
上会议数据	3
上传媒客户	12
上传媒操场	6
上传媒教练	10
上传媒旅游	2
上传媒气候	5
上传媒海洋	8
上传媒灾害	9
上传媒芯片	9
上传媒裁判	5
上传媒质量	3
上传统中心	6
上传统医院	4
上传统基地	1
上传统温度	12
上传统湿度	8
上传统演员	2
上传统系统	9
上传统老年	12
上传统能源	4
上传统药物	7
上传统街道	6
上低文化	5
上低用户	10
上低碳主播	3
上低碳健康	9
上低碳公路	6
上低碳创新	9
上低碳工程	7
上低碳投资	3
上低碳火车	6
上低碳生态	3
上低碳老年	9
上低碳食堂	4
上低食堂	1
上住房医生	8
