0	2	项目
2	3	组
3	4	在
5	8	ICU
9	11	病房
11	12	用
13	16	GPU
17	18	跑
18	19	了
20	21	3
21	22	.
22	24	14
25	26	亿
26	27	次
27	29	推理
29	30	，
30	33	准确率
34	36	92
36	37	.
37	38	5
38	39	%
39	40	。
41	46	北京大学城
46	47	的
47	50	大学生
50	51	在
52	54	Wi
54	55	-
55	57	Fi
57	58	6
59	61	网络
61	62	下
62	63	测
63	64	试
65	67	AI
68	70	模型
70	71	，
71	73	耗时
74	75	0
75	76	.
76	78	35
79	80	秒
80	81	。
82	86	2026
86	87	年
87	88	3
88	89	月
89	91	14
91	92	日
92	93	，
93	95	研究
95	97	团队
97	98	公
98	99	布
99	100	了
101	107	iPhone
107	109	15
110	111	与
112	113	Ａ
113	114	Ｉ
115	117	模型
117	118	的
118	120	对比
120	122	结果
122	123	。
124	125	翀
125	126	龘
126	127	犇
127	128	三
128	129	个
129	130	生
130	131	僻
131	132	字
132	133	、
133	134	ｉ
134	135	Ｐ
135	136	ｈ
136	137	ｏ
137	138	ｎ
138	139	ｅ
140	141	的
141	142	全
142	143	角
143	144	写
144	145	法
145	146	与
147	150	bbs
151	152	都
152	153	不
153	154	是
154	155	词
155	156	。
159	160	中
160	161	间
161	162	夹
162	163	了
163	164	全
164	165	角
165	166	空
166	167	格
168	169	和
169	170	制
170	171	表
171	172	符
173	174	，
174	175	还
175	176	有
177	181	HTTP
181	182	/
182	183	2
184	185	与
186	187	e
187	188	-
188	192	mail
192	193	。
194	197	南京市
197	201	长江大桥
201	203	通车
203	204	后
204	205	，
205	210	中国科学院
210	211	的
211	214	研究生
214	215	做
215	216	了
217	218	1
218	219	,
219	222	234
223	224	次
224	226	对比
226	227	。
